channels,penalty,window_size,pelt_model,min_size_opt,min_size,seed,n_detected,location_error,ari,n_penalty,composite
all,4.0,15,rbf,5,5,45,1,16.0,0.5073487662737015,0.6666666666666667,0.5910077164701841
all,4.0,15,rbf,5,5,46,0,50.0,0.0,0.33333333333333337,0.06666666666666668
all,4.0,15,rbf,5,5,47,2,7.0,0.7468511821710945,1.0,0.8314255910855473
all,4.0,15,rbf,5,5,48,0,50.0,0.0,0.33333333333333337,0.06666666666666668
all,4.0,15,rbf,5,5,49,1,15.5,0.49666382957217303,0.6666666666666667,0.5886652481194199
all,4.0,15,rbf,5,5,50,1,45.5,0.05428117850026293,0.6666666666666667,0.18747392258346482
all,4.0,15,rbf,5,5,51,0,50.0,0.0,0.33333333333333337,0.06666666666666668
all,4.0,15,rbf,10,10,42,0,50.0,0.0,0.33333333333333337,0.06666666666666668
all,4.0,15,rbf,10,10,43,1,23.5,0.44135129541658846,0.6666666666666667,0.5130089810416276
all,4.0,15,rbf,10,10,44,0,50.0,0.0,0.33333333333333337,0.06666666666666668
all,4.0,15,rbf,10,10,45,1,16.0,0.5073487662737015,0.6666666666666667,0.5910077164701841
all,4.0,15,rbf,10,10,46,0,50.0,0.0,0.33333333333333337,0.06666666666666668
all,4.0,15,rbf,10,10,47,2,7.0,0.7468511821710945,1.0,0.8314255910855473
all,4.0,15,rbf,10,10,48,0,50.0,0.0,0.33333333333333337,0.06666666666666668
all,4.0,15,rbf,10,10,49,1,15.5,0.49666382957217303,0.6666666666666667,0.5886652481194199
all,4.0,15,rbf,10,10,50,1,45.5,0.05428117850026293,0.6666666666666667,0.18747392258346482
all,4.0,15,rbf,10,10,51,0,50.0,0.0,0.33333333333333337,0.06666666666666668
all,4.0,15,rbf,window,15,42,0,50.0,0.0,0.33333333333333337,0.06666666666666668
all,4.0,15,rbf,window,15,43,1,23.5,0.44135129541658846,0.6666666666666667,0.5130089810416276
all,4.0,15,rbf,window,15,44,0,50.0,0.0,0.33333333333333337,0.06666666666666668
all,4.0,15,rbf,window,15,45,1,16.0,0.5073487662737015,0.6666666666666667,0.5910077164701841
all,4.0,15,rbf,window,15,46,0,50.0,0.0,0.33333333333333337,0.06666666666666668
all,4.0,15,rbf,window,15,47,2,7.0,0.7468511821710945,1.0,0.8314255910855473
all,4.0,15,rbf,window,15,48,0,50.0,0.0,0.33333333333333337,0.06666666666666668
all,4.0,15,rbf,window,15,49,1,15.5,0.49666382957217303,0.6666666666666667,0.5886652481194199
all,4.0,15,rbf,window,15,50,0,50.0,0.0,0.33333333333333337,0.06666666666666668
all,4.0,15,rbf,window,15,51,0,50.0,0.0,0.33333333333333337,0.06666666666666668
all,4.0,15,l2,5,5,42,21,10.130952380952381,0.17844533707055393,0.0,0.32843695424956265
all,4.0,15,l2,5,5,43,24,9.4375,0.1494583659962225,0.0,0.3181041829981113
all,4.0,15,l2,5,5,44,19,9.736842105263158,0.19729808130620363,0.0,0.3402279880215229
all,4.0,15,l2,5,5,45,18,11.416666666666666,0.19007647923310575,0.0,0.32653823961655287
all,4.0,15,l2,5,5,46,19,10.276315789473685,0.1839240381470541,0.0,0.33030412433668493
all,4.0,15,l2,5,5,47,19,11.407894736842104,0.1867948247052555,0.0,0.3249500439315751
