channels,penalty,window_size,pelt_model,min_size_opt,min_size,seed,n_detected,location_error,ari,n_penalty,composite
all,3.0,25,l2,5,5,49,20,4.6,0.36389733020683274,0.0,0.4543486651034163
all,3.0,25,l2,5,5,50,19,4.782894736842105,0.37351932037033647,0.0,0.4580622917641156
all,3.0,25,l2,5,5,51,20,4.95,0.36183851217338814,0.0,0.45121925608669405
all,3.0,25,l2,10,10,42,9,6.097222222222222,0.5243951734680128,0.0,0.5256142534006731
all,3.0,25,l2,10,10,43,11,4.625,0.5258932426923086,0.0,0.5351966213461543
all,3.0,25,l2,10,10,44,11,4.625,0.5258932426923086,0.0,0.5351966213461543
all,3.0,25,l2,10,10,45,10,5.05,0.565721836678272,0.0,0.552560918339136
all,3.0,25,l2,10,10,46,9,5.069444444444445,0.6008401146735904,0.0,0.5700033906701285
all,3.0,25,l2,10,10,47,10,5.8,0.5412849625363741,0.0,0.535842481268187
all,3.0,25,l2,10,10,48,10,4.375,0.5888515197685767,0.0,0.5681757598842884
all,3.0,25,l2,10,10,49,10,5.325,0.5574661395982391,0.0,0.5467830697991195
all,3.0,25,l2,10,10,50,11,4.920454545454545,0.5187043608529198,0.0,0.5298294531537326
all,3.0,25,l2,10,10,51,10,5.625,0.5447759445566452,0.0,0.5386379722783226
all,3.0,25,l2,window,25,42,3,8.166666666666666,0.5953165257172474,0.6666666666666667,0.6819915961919569
all,3.0,25,l2,window,25,43,3,8.958333333333334,0.5852525484378773,0.6666666666666667,0.6722096075522719
all,3.0,25,l2,window,25,44,3,7.458333333333334,0.6189156720856959,0.6666666666666667,0.6980411693761812
all,3.0,25,l2,window,25,45,3,9.0,0.5688664724080992,0.6666666666666667,0.6637665695373829
all,3.0,25,l2,window,25,46,3,11.208333333333332,0.5215611386084089,0.6666666666666667,0.6268639026375378
all,3.0,25,l2,window,25,47,4,5.0,0.7107363246719467,1.0,0.8253681623359734
all,3.0,25,l2,window,25,48,4,5.0,0.7107363246719467,1.0,0.8253681623359734
all,3.0,25,l2,window,25,49,3,11.916666666666668,0.5026727357413457,0.6666666666666667,0.6131697012040063
all,3.0,25,l2,window,25,50,3,9.625,0.5572550123549467,0.6666666666666667,0.6542108395108066
all,3.0,25,l2,window,25,51,3,13.541666666666668,0.47772640583534215,0.6666666666666667,0.5909465362510045
all,3.0,30,rbf,5,5,42,2,12.5,0.45671424106677777,0.33333333333333337,0.5200237872000555
all,3.0,30,rbf,5,5,43,2,10.0,0.5536249251048532,0.33333333333333337,0.5834791292190933
all,3.0,30,rbf,5,5,44,1,26.25,0.22721659669054087,0.0,0.25610829834527044
all,3.0,30,rbf,5,5,45,4,6.25,0.649799529932255,1.0,0.7873997649661275
all,3.0,30,rbf,5,5,46,2,16.25,0.42073901827562404,0.33333333333333337,0.4795361758044787
all,3.0,30,rbf,5,5,47,2,11.25,0.47596717467760846,0.33333333333333337,0.5371502540054709
all,3.0,30,rbf,5,5,48,1,18.75,0.3070968487334277,0.0,0.34104842436671384
all,3.0,30,rbf,5,5,49,2,13.75,0.44215442784594283,0.33333333333333337,0.5052438805896381
all,3.0,30,rbf,5,5,50,2,13.125,0.4242994902431897,0.33333333333333337,0.5000664117882615
all,3.0,30,rbf,5,5,51,3,10.833333333333334,0.4495345056893749,0.6666666666666667,0.5931005861780207
all,3.0,30,rbf,10,10,42,2,12.5,0.45671424106677777,0.33333333333333337,0.5200237872000555
all,3.0,30,rbf,10,10,43,2,10.0,0.5536249251048532,0.33333333333333337,0.5834791292190933
all,3.0,30,rbf,10,10,44,1,26.25,0.22721659669054087,0.0,0.25610829834527044
all,3.0,30,rbf,10,10,45,4,6.25,0.649799529932255,1.0,0.7873997649661275
all,3.0,30,rbf,10,10,46,2,16.25,0.42073901827562404,0.33333333333333337,0.4795361758044787
all,3.0,30,rbf,10,10,47,2,11.25,0.47596717467760846,0.33333333333333337,0.5371502540054709
all,3.0,30,rbf,10,10,48,1,18.75,0.3070968487334277,0.0,0.34104842436671384
all,3.0,30,rbf,10,10,49,2,13.75,0.44215442784594283,0.33333333333333337,0.5052438805896381
all,3.0,30,rbf,10,10,50,2,13.125,0.4242994902431897,0.33333333333333337,0.5000664117882615
all,3.0,30,rbf,10,10,51,2,16.25,0.3514488247730382,0.33333333333333337,0.4448910790531858
all,3.0,30,rbf,window,30,42,2,7.5,0.6089238845144357,0.33333333333333337,0.6261286089238844
all,3.0,30,rbf,window,30,43,2,11.25,0.5464998309097058,0.33333333333333337,0.5724165821215195
all,3.0,30,rbf,window,30,44,1,26.25,0.22721659669054087,0.0,0.25610829834527044
all,3.0,30,rbf,window,30,45,1,15.0,0.3686440677966102,0.0,0.3943220338983051
all,3.0,30,rbf,window,30,46,2,16.25,0.42073901827562404,0.33333333333333337,0.4795361758044787
