channels,penalty,window_size,pelt_model,min_size_opt,composite_mean,composite_std,ari_mean,ari_std,location_error_mean,location_error_std,n_detected_mean,n_detected_std
r2_resid,5.0,30,l2,window,0.7861174781305824,0.11764940685475879,0.7329016229278316,0.13630458940407542,7.833333333333333,4.430533786083752,2.3,0.674948557710553
r2_resid,7.0,30,l2,window,0.7801050956526249,0.12116874224658067,0.7072101913052495,0.1504512784068188,8.916666666666666,5.13776263934717,2.1,0.5676462121975466
all,5.0,30,l2,window,0.7791133980186503,0.061544502134576344,0.7228934627039673,0.06754992921152435,8.166666666666666,2.1801574300387316,2.5,0.5270462766947298
all,6.0,30,l2,window,0.7791133980186503,0.061544502134576344,0.7228934627039673,0.06754992921152435,8.166666666666666,2.1801574300387316,2.5,0.5270462766947298
all,4.0,30,l2,window,0.7791133980186503,0.061544502134576344,0.7228934627039673,0.06754992921152435,8.166666666666666,2.1801574300387316,2.5,0.5270462766947298
no_jaccard,3.0,30,l2,window,0.7791133980186503,0.061544502134576344,0.7228934627039673,0.06754992921152435,8.166666666666666,2.1801574300387316,2.5,0.5270462766947298
all,3.0,30,l2,window,0.7759751659966666,0.0627217630611191,0.7279503319933333,0.06451895243934477,8.0,2.086109261724287,2.6,0.5163977794943223
r2_only,4.0,30,l2,window,0.775891117479507,0.1210128572538214,0.6924489016256807,0.14339730672627385,9.5,5.109903238918631,1.8,0.42163702135578396
r2_only,3.0,30,l2,window,0.775891117479507,0.1210128572538214,0.6924489016256807,0.14339730672627385,9.5,5.109903238918631,1.8,0.42163702135578396
fit_quality,5.0,30,l2,window,0.7700392128536192,0.1010027642097988,0.7097450923739052,0.11498488385096967,8.583333333333332,3.8699937793040258,2.3,0.6749485577105528
importance,4.0,30,l2,window,0.7655268867269539,0.0862814623790273,0.6757204401205745,0.0972649214586268,9.833333333333332,3.3747427885527643,2.0,0.4714045207910318
importance,3.0,30,l2,window,0.7655268867269539,0.0862814623790273,0.6757204401205745,0.0972649214586268,9.833333333333332,3.3747427885527643,2.0,0.4714045207910318
r2_resid,8.0,30,l2,window,0.7603847581246962,0.1424427349766191,0.6817695162493923,0.16930058468256326,10.083333333333332,6.204463745592391,1.9,0.5676462121975466
fit_quality,8.0,30,l2,window,0.7600908521913944,0.12975715908401653,0.6978483710494554,0.143991353538433,9.25,5.491997545250457,2.1,0.7378647873726218
residuals,4.0,30,l2,window,0.751203445940632,0.12201128442136969,0.6830735585479306,0.14090683900401604,9.5,4.782297603701632,2.1,0.7378647873726218
r2_only,5.0,30,l2,window,0.7497424199564632,0.14530965023392944,0.6684848399129264,0.16350499427128146,10.75,6.566962768281849,1.7,0.48304589153964794
fit_quality,6.0,30,l2,window,0.7470099049694422,0.12370983872801301,0.6890198099388845,0.13943711529171682,9.583333333333332,5.303300858899107,2.2,0.7888106377466155
fit_quality,7.0,30,l2,window,0.7470099049694422,0.12370983872801301,0.6890198099388845,0.13943711529171682,9.583333333333332,5.303300858899107,2.2,0.7888106377466155
fit_quality,8.0,25,l2,window,0.7300866044234781,0.13772262776205116,0.6755398755136228,0.13803623436574652,9.058333333333334,4.01310545987752,2.8,0.7888106377466155
r2_resid,6.0,25,l2,window,0.7232212607647605,0.13928029589095717,0.6752425215295209,0.14225637681075878,9.066666666666666,4.117824848324838,2.9,0.7378647873726218
r2_only,3.0,25,l2,window,0.7230402237568828,0.11056007422884809,0.6502804475137657,0.11835336591665531,10.35,3.8699539028102823,2.6,0.6992058987801011
fit_quality,6.0,25,l2,window,0.7218624631100626,0.13688196008814085,0.6731249262201253,0.13828781150776318,9.116666666666665,4.024462236907721,2.9,0.7378647873726218
fit_quality,7.0,25,l2,window,0.7218624631100626,0.13688196008814085,0.6731249262201253,0.13828781150776318,9.116666666666665,4.024462236907721,2.9,0.7378647873726218
importance,6.0,30,l2,window,0.7156769061810518,0.1074962127564958,0.626687145695437,0.10825439746050412,11.833333333333332,4.791968589521739,1.8,0.6324555320336761
importance,5.0,30,l2,window,0.7156769061810518,0.1074962127564958,0.626687145695437,0.10825439746050412,11.833333333333332,4.791968589521739,1.8,0.6324555320336761
r2_resid,4.0,25,l2,window,0.7106704715851229,0.13616849825952096,0.6670742765035791,0.14232880817253651,9.366666666666665,4.100248411625451,3.0,0.6666666666666666
r2_resid,5.0,25,l2,window,0.7106704715851229,0.13616849825952096,0.6670742765035791,0.14232880817253651,9.366666666666665,4.100248411625451,3.0,0.6666666666666666
residuals,4.0,25,l2,window,0.7099643911011282,0.12556676444764406,0.6399621155355898,0.14504658872646234,10.558333333333334,4.77180666926992,2.5,0.8498365855987975
fit_quality,5.0,25,l2,window,0.7097019700833355,0.14547810898753852,0.6642372735000042,0.1439047544867346,9.291666666666666,4.128015171878521,3.0,0.816496580927726
fit_quality,4.0,25,l2,window,0.7097019700833355,0.14547810898753852,0.6642372735000042,0.1439047544867346,9.291666666666666,4.128015171878521,3.0,0.816496580927726
