channels,penalty,window_size,pelt_model,min_size_opt,composite_mean,composite_std,ari_mean,ari_std,location_error_mean,location_error_std,n_detected_mean,n_detected_std
no_jaccard,8.0,15,l2,window,0.6421005448484549,0.04826161818945376,0.6465144230302433,0.0612306547488793,5.748333333333333,1.2689199534740223,6.2,0.632455532033676
importance,8.0,15,l2,window,0.6417248701173728,0.13819232976406667,0.5169664069014122,0.1380243672077029,10.570833333333333,4.4727419470266065,3.2,0.7888106377466155
fit_quality,4.0,25,l2,window,0.6411355026511114,0.0682021353329744,0.5499876719688895,0.06716293388751331,10.0875,2.799873922426058,2.9,0.31622776601683794
all,8.0,25,l2,window,0.6411079327116432,0.04828630945333332,0.5504825320899533,0.05692063572433233,10.133333333333335,2.222031241793457,2.9,0.31622776601683805
importance,8.0,15,l2,10,0.6410785496709357,0.1124358024686356,0.49481709934187135,0.1416782878886749,11.055,4.467855355926542,3.6,0.8432740427115678
r2_resid,5.0,30,l2,10,0.6410438177371294,0.08815294386773194,0.6346876354742588,0.07726048890297002,6.05,1.2488915468294277,6.2,1.2292725943057183
r2_only,5.0,25,l2,10,0.640951633741935,0.06242127904950146,0.5269766008172032,0.12533397585647935,9.311666666666666,3.6401062425141,4.0,1.247219128924647
residuals,3.0,30,l2,10,0.6406265483190098,0.04884270906910129,0.6332923823523054,0.0671883392316622,6.00327380952381,1.3912072841199872,6.2,1.0327955589886444
r2_resid,8.0,20,l2,10,0.6403263675439199,0.05741662338913493,0.5906265446116494,0.043160045833908485,6.942261904761905,1.1979660223491098,5.8,1.1352924243950935
residuals,4.0,25,l2,10,0.6389280163612451,0.05851150780833583,0.5880948422462996,0.07951362946393473,6.964345238095238,2.0056178667354243,5.8,1.3165611772087669
